Order 3
1.926 3.40873e-14 2.78749e-16
1.92629 3.46896e-14 3.38275e-16
1.92657 3.94416e-14 8.41092e-16
1.92686 4.49073e-14 3.98798e-15
1.92715 4.67696e-14 8.9444e-15
1.92744 4.31912e-14 2.02503e-15
1.92773 3.99906e-14 7.70566e-16
1.92801 3.86535e-14 8.27818e-16
1.9283 3.14758e-14 1.89836e-15
1.92859 3.75497e-14 3.05448e-15
1.92888 3.676e-14 7.99729e-16
1.92916 3.4169e-14 3.59039e-16
1.92945 3.41597e-14 2.7892e-16
1.92974 3.50764e-14 3.57283e-16
1.93003 3.34115e-14 7.48e-16
1.93032 3.28204e-14 1.40301e-15
1.9306 3.1085e-14 1.67565e-15
1.93089 2.54603e-14 2.5888e-15
1.93118 2.72364e-14 1.97003e-15
1.93147 2.63e-14 1.06291e-15
1.93175 3.15964e-14 5.45614e-16
1.93204 3.56554e-14 2.87814e-16
1.93233 3.45159e-14 2.22517e-16
1.93262 3.15164e-14 2.72815e-16
1.93291 3.60981e-14 3.0106e-16
1.93319 3.54791e-14 2.2056e-16
1.93348 3.5619e-14 2.85755e-16
1.93377 3.27159e-14 6.28374e-16
1.93406 3.44377e-14 1.06351e-15
1.93434 3.68293e-14 4.73698e-16
1.93463 3.66515e-14 2.43506e-16
1.93492 3.60657e-14 1.73073e-16
1.93521 3.62853e-14 1.67368e-16
1.9355 3.59329e-14 2.02335e-16
1.93578 3.57634e-14 2.74379e-16
1.93607 3.55372e-14 4.09948e-16
1.93636 3.12391e-14 7.07382e-16
1.93665 3.96638e-14 6.07615e-16
1.93693 3.74337e-14 3.35855e-16
1.93722 3.58911e-14 2.66009e-16
1.93751 3.69383e-14 3.07078e-16
1.9378 3.34369e-14 4.65133e-16
1.93809 3.39284e-14 5.84257e-16
1.93837 3.39228e-14 3.82396e-16
1.93866 3.45068e-14 4.44891e-16
1.93895 3.4466e-14 1.06841e-15
1.93924 3.27943e-14 2.19624e-15
1.93952 3.33303e-14 1.5648e-15
1.93981 3.92771e-14 5.2442e-16
1.9401 3.58873e-14 2.5643e-16
1.94039 3.44166e-14 2.18188e-16
1.94068 3.39444e-14 2.98683e-16
1.94096 3.32489e-14 4.61867e-16
1.94125 3.2003e-14 5.34668e-16
1.94154 3.4767e-14 4.3238e-16
1.94183 3.61439e-14 2.32283e-16
1.94211 3.5676e-14 1.49066e-16
1.9424 3.50291e-14 1.2867e-16
1.94269 3.37559e-14 1.34053e-16
1.94298 3.31358e-14 1.46787e-16
1.94326 3.19658e-14 1.79489e-16
1.94355 3.10492e-14 2.60807e-16
1.94384 3.49689e-14 3.06516e-16
1.94413 3.52589e-14 3.31236e-16
1.94442 3.02519e-14 5.13747e-16
1.9447 2.97666e-14 7.21166e-16
1.94499 3.03101e-14 4.21776e-16
1.94528 2.57021e-14 2.24386e-16
1.94557 2.30545e-14 1.73819e-16
1.94585 2.29558e-14 1.80091e-16
1.94614 2.80784e-14 1.85702e-16
1.94643 3.16866e-14 1.58301e-16
1.94672 3.29046e-14 1.65627e-16
1.94701 3.16525e-14 2.31482e-16
1.94729 3.24114e-14 2.81149e-16
1.94758 3.36436e-14 2.30702e-16
1.94787 3.23776e-14 2.36228e-16
1.94816 3.05363e-14 2.98141e-16
1.94844 3.38609e-14 2.73228e-16
1.94873 3.45831e-14 2.13126e-16
1.94902 3.18887e-14 2.21919e-16
1.94931 3.3932e-14 2.47245e-16
1.9496 3.51922e-14 2.00902e-16
1.94988 3.36758e-14 1.80367e-16
1.95017 3.18187e-14 1.73686e-16
1.95046 2.87822e-14 1.75511e-16
1.95075 2.49464e-14 1.74219e-16
1.95103 2.52568e-14 1.44391e-16
1.95132 2.82756e-14 1.2876e-16
1.95161 3.08337e-14 1.40134e-16
1.9519 3.19452e-14 1.65503e-16
1.95219 3.27236e-14 1.90217e-16
1.95247 3.27528e-14 1.95072e-16
1.95276 3.31345e-14 1.95029e-16
1.95305 3.16171e-14 2.44904e-16
1.95334 3.46275e-14 3.19304e-16
1.95362 3.7822e-14 2.3545e-16
1.95391 3.67281e-14 2.24934e-16
1.9542 3.38032e-14 2.90328e-16
1.95449 3.68087e-14 2.76405e-16
1.95478 3.53476e-14 2.1564e-16
1.95506 3.38921e-14 2.51305e-16
1.95535 3.12849e-14 3.3508e-16
1.95564 3.34087e-14 3.44643e-16
1.95593 3.29579e-14 3.08073e-16
1.95621 3.12013e-14 3.3612e-16
1.9565 3.35652e-14 3.42686e-16
1.95679 3.45351e-14 2.91035e-16
1.95708 3.44757e-14 2.72968e-16
1.95737 3.63008e-14 2.51097e-16
1.95765 3.49138e-14 2.76693e-16
1.95794 3.28397e-14 3.40248e-16
1.95823 3.52232e-14 2.96583e-16
1.95852 3.70974e-14 2.65865e-16
1.9588 3.67235e-14 3.17397e-16
1.95909 3.2916e-14 4.07579e-16
