Order 3
1.94528 354.121 1.27288
1.94557 392.763 1.27807
1.94585 363.461 1.24981
1.94614 449.301 1.3466
1.94643 591.499 1.48012
1.94672 495.736 1.39769
1.94701 297.15 1.22892
1.94729 308.234 1.25454
1.94758 396.176 1.33637
1.94787 323.424 1.26853
1.94816 255.385 1.21464
1.94844 363.557 1.31749
1.94873 429.716 1.34741
1.94902 341.561 1.24899
1.94931 383.01 1.30709
1.9496 510.353 1.43625
1.94988 539.055 1.4597
1.95017 537.207 1.45286
1.95046 471.347 1.38695
1.95075 494.034 1.41168
1.95103 692.596 1.59763
1.95132 829.328 1.72278
1.95161 760.184 1.69872
1.9519 600.915 1.56536
1.95219 496.203 1.44705
1.95247 510.241 1.4543
1.95276 496.78 1.45182
1.95305 326.664 1.32123
1.95334 330.78 1.35182
1.95362 495.001 1.47889
1.95391 401.033 1.34569
1.9542 280.478 1.23108
1.95449 405.913 1.36861
1.95478 455.357 1.39101
1.95506 320.921 1.25589
1.95535 232.023 1.18961
1.95564 290.344 1.30279
1.95593 305.774 1.32368
1.95621 241.278 1.21694
1.9565 273.577 1.22903
1.95679 308.618 1.25921
1.95708 351.246 1.31237
1.95737 402.447 1.3715
1.95765 294.845 1.24588
1.95794 249.402 1.19611
1.95823 338.669 1.30083
1.95852 352.697 1.30777
1.9588 250.325 1.20527
1.95909 199.125 1.17705
1.95938 405.954 1.42032
1.95967 688.965 1.65379
1.95996 852.081 1.7744
1.96024 883.318 1.79055
1.96053 650.266 1.60179
1.96082 485.565 1.47763
1.96111 670.042 1.65503
1.96139 867.085 1.81897
1.96168 811.333 1.79986
1.96197 719.513 1.73685
1.96226 678.164 1.67925
1.96255 511.777 1.50635
1.96283 441.543 1.44622
1.96312 378.687 1.39088
1.96341 368.396 1.39621
1.9637 487.768 1.5569
1.96398 558.049 1.67478
1.96427 523.069 1.61976
1.96456 622.916 1.62736
1.96485 776.346 1.73033
1.96514 732.365 1.69163
1.96542 727.245 1.68804
1.96571 683.36 1.65364
1.966 792.947 1.74976
1.96629 902.393 1.83369
1.96657 916.827 1.84423
1.96686 967.115 1.88595
1.96715 922.037 1.86067
1.96744 900.401 1.88019
1.96772 766.205 1.79543
1.96801 783.375 1.78981
1.9683 938.753 1.88256
1.96859 994.593 1.93252
1.96888 1056.84 1.96564
1.96916 978.268 1.91028
1.96945 1071.52 2.01601
1.96974 1168.05 2.16573
1.97003 1134.17 2.19657
1.97031 1195.99 2.18491
1.9706 1049.05 1.9916
1.97089 872.139 1.85179
1.97118 772.877 1.78485
1.97147 670.763 1.70304
1.97175 741.848 1.75989
1.97204 821.269 1.81955
1.97233 1046.58 1.98093
1.97262 1259.46 2.12949
1.9729 1230.38 2.11028
1.97319 1247.51 2.14081
1.97348 1176.15 2.12549
1.97377 891.169 1.90652
1.97406 753.223 1.77553
1.97434 988.753 1.95899
1.97463 1308.88 2.22144
1.97492 1395.3 2.34249
1.97521 1294.23 2.258
1.97549 1177.85 2.11737
1.97578 1086.9 2.03493
1.97607 1241.23 2.14911
1.97636 1473.23 2.30705
1.97665 1505.97 2.4509
1.97693 1490.44 2.57428
1.97722 1413.69 2.51548
1.97751 1333.43 2.28782
1.9778 1398.22 2.26028
1.97808 1464.8 2.30016
1.97837 1422.76 2.26612
1.97866 1449.76 2.28322
1.97895 1498.41 2.31529
1.97924 1287.03 2.19249
1.97952 822.361 1.858
1.97981 636.791 1.71722
1.9801 732.263 1.80441
1.98039 833.282 1.87708
1.98067 1206.34 2.14983
1.98096 1507.55 2.34386
1.98125 1561.51 2.37281
1.98154 1561.3 2.36916
1.98183 1585.96 2.38706
1.98211 1592.47 2.3978
1.9824 1498.0 2.34279
1.98269 1314.54 2.22188
1.98298 1308.6 2.21732
1.98326 1518.05 2.37914
1.98355 1638.63 2.51252
1.98384 1638.64 2.54086
1.98413 1621.85 2.48947
1.98442 1625.3 2.42794
1.9847 1538.23 2.36582
1.98499 1348.78 2.24881
1.98528 1391.74 2.28368
1.98557 1599.98 2.41373
1.98585 1660.27 2.44967
1.98614 1613.79 2.42263
1.98643 1379.8 2.27209
1.98672 937.47 1.9644
1.98701 855.43 1.91374
1.98729 1273.99 2.22869
1.98758 1530.19 2.38747
1.98787 1572.54 2.40656
1.98816 1610.85 2.42675
1.98844 1656.25 2.46441
1.98873 1662.99 2.48654
1.98902 1649.01 2.48769
1.98931 1575.31 2.43929
1.9896 1330.15 2.27586
1.98988 1034.89 2.06429
1.99017 990.354 2.04249
1.99046 1142.18 2.14972
1.99075 1359.69 2.28634
1.99103 1608.4 2.44959
1.99132 1697.27 2.49961
1.99161 1672.84 2.48343
1.9919 1656.47 2.47491
1.99218 1665.54 2.49985
1.99247 1687.93 2.52003
1.99276 1708.51 2.51798
1.99305 1701.76 2.50353
1.99334 1681.22 2.48771
1.99362 1591.42 2.43301
1.99391 1365.14 2.29134
1.9942 1309.8 2.26765
1.99449 1464.44 2.36824
1.99477 1564.27 2.42303
1.99506 1557.47 2.41999
1.99535 1388.57 2.30875
1.99564 1308.97 2.2586
1.99593 1418.82 2.33357
1.99621 1396.42 2.30881
1.9965 1192.13 2.17013
1.99679 1125.98 2.1263
1.99708 1227.78 2.19845
1.99736 1222.43 2.18993
1.99765 1052.43 2.06132
1.99794 820.316 1.88293
1.99823 795.514 1.86338
1.99852 897.578 1.9482
1.9988 896.742 1.94497
1.99909 850.041 1.90415
1.99938 793.595 1.86124
1.99967 748.709 1.8277
1.99995 723.5 1.83405
2.00024 692.166 1.97872
2.00053 627.866 2.24294
2.00082 541.141 2.19519
2.00111 467.353 1.82216
2.00139 467.676 1.58806
2.00168 482.422 1.58885
2.00197 413.998 1.5171
2.00226 333.69 1.42775
2.00254 279.596 1.38027
2.00283 285.265 1.46921
2.00312 359.405 1.64872
2.00341 387.656 1.64207
2.0037 384.914 1.5293
2.00398 378.385 1.48396
2.00427 366.459 1.47101
2.00456 367.116 1.47655
2.00485 345.765 1.44532
2.00513 315.868 1.40298
2.00542 292.827 1.37843
2.00571 300.624 1.38829
2.006 341.294 1.43294
2.00629 461.198 1.56589
2.00657 518.551 1.6385
2.00686 570.756 1.70533
2.00715 590.785 1.71456
2.00744 652.306 1.75297
2.00772 661.464 1.75413
2.00801 720.47 1.80227
2.0083 819.432 1.88452
2.00859 898.989 1.94253
2.00888 1092.76 2.09586
2.00916 1039.32 2.05308
2.00945 854.4 1.92498
2.00974 787.53 1.87866
2.01003 648.378 1.74899
2.01031 657.799 1.74236
2.0106 608.75 1.69811
2.01089 603.86 1.69884
2.01118 611.647 1.71069
2.01147 578.015 1.68612
2.01175 621.814 1.73066
2.01204 556.871 1.66625
2.01233 602.838 1.71521
2.01262 575.041 1.69202
2.0129 583.752 1.69642
2.01319 601.008 1.70626
2.01348 520.82 1.62738
2.01377 598.745 1.7056
2.01406 562.055 1.66492
2.01434 622.421 1.7273
2.01463 696.048 1.79117
2.01492 586.395 1.69309
2.01521 675.592 1.78041
2.01549 655.2 1.75219
2.01578 639.699 1.747
2.01607 729.424 1.82731
2.01636 596.022 1.7036
2.01665 541.265 1.65272
2.01693 577.751 1.687
2.01722 614.976 1.72638
2.01751 794.163 1.8891
2.0178 741.797 1.83886
2.01808 695.015 1.79813
2.01837 837.295 1.91848
2.01866 760.118 1.85644
2.01895 789.902 1.9474
2.01924 926.443 2.09005
2.01952 851.915 1.98768
2.01981 912.457 1.97932
2.0201 1003.13 2.04071
2.02039 905.51 1.97041
2.02067 941.493 2.00302
2.02096 961.775 2.01568
2.02125 927.822 1.98948
2.02154 1141.07 2.14949
2.02182 1170.92 2.1685
2.02211 1080.39 2.09944
2.0224 1258.69 2.23325
2.02269 1257.71 2.23011
2.02298 1095.07 2.10699
2.02326 1189.34 2.17589
2.02355 1243.98 2.21299
2.02384 1221.61 2.19718
2.02413 1356.47 2.29452
2.02441 1358.04 2.28995
2.0247 1276.71 2.23645
2.02499 1381.84 2.30872
2.02528 1447.92 2.35572
2.02557 1404.21 2.32892
2.02585 1471.51 2.37719
2.02614 1541.89 2.41583
2.02643 1482.21 2.37483
2.02672 1512.45 2.40533
2.027 1597.92 2.55911
2.02729 1529.81 2.80199
2.02758 1463.23 2.9228
2.02787 1446.21 2.65041
2.02816 1389.83 2.36881
2.02844 1364.07 2.31547
2.02873 1444.86 2.36511
2.02902 1565.19 2.45105
2.02931 1593.96 2.46411
2.02959 1646.94 2.49183
2.02988 1682.45 2.51528
2.03017 1606.41 2.46507
2.03046 1590.71 2.45786
2.03075 1637.92 2.48905
2.03103 1652.28 2.4926
2.03132 1680.1 2.51578
2.03161 1719.04 2.55482
2.0319 1710.1 2.54605
2.03218 1686.02 2.52419
2.03247 1698.34 2.52169
2.03276 1660.43 2.49416
2.03305 1538.8 2.42016
2.03334 1547.32 2.47244
2.03362 1666.65 2.70695
2.03391 1708.9 2.81144
2.0342 1711.67 2.70328
2.03449 1722.42 2.58026
2.03477 1730.33 2.56262
2.03506 1732.23 2.54853
2.03535 1733.52 2.5443
2.03564 1736.71 2.54114
2.03593 1736.45 2.54141
2.03621 1732.95 2.53908
2.0365 1731.53 2.53558
2.03679 1736.4 2.5427
2.03708 1737.86 2.54176
2.03736 1738.7 2.54475
2.03765 1732.1 2.53879
2.03794 1710.53 2.5245
2.03823 1673.95 2.51412
2.03852 1684.77 2.51977
2.0388 1713.74 2.52736
2.03909 1719.06 2.53609
2.03938 1709.81 2.52598
2.03967 1633.8 2.48025
2.03995 1502.87 2.3942
2.04024 1474.53 2.38973
2.04053 1576.94 2.49505
2.04082 1658.27 2.82163
2.04111 1674.55 3.17455
2.04139 1674.63 3.0849
2.04168 1685.65 2.67007
2.04197 1689.93 2.52047
2.04226 1691.86 2.51576
2.04254 1686.7 2.5169
2.04283 1666.79 2.51647
2.04312 1649.08 2.51279
2.04341 1650.94 2.51419
2.0437 1630.09 2.47083
2.04398 1597.8 2.45161
2.04427 1609.91 2.46599
2.04456 1654.86 2.50171
2.04485 1669.92 2.52452
2.04513 1691.5 2.5163
2.04542 1706.93 2.52754
2.04571 1705.93 2.52255
2.046 1701.62 2.52095
2.04628 1685.59 2.51188
2.04657 1653.72 2.48617
2.04686 1632.77 2.47833
2.04715 1607.15 2.46539
2.04744 1582.71 2.44902
2.04772 1546.79 2.43394
2.04801 1500.03 2.39533
2.0483 1494.56 2.3982
2.04859 1454.4 2.37246
2.04887 1440.12 2.36241
2.04916 1410.74 2.34185
2.04945 1368.15 2.51779
2.04974 1360.86 2.43533
2.05003 1297.21 2.39476
2.05031 1254.08 2.26532
2.0506 1270.63 2.24112
2.05089 1283.63 2.24738
2.05118 1268.03 2.23684
2.05146 1212.27 2.20739
2.05175 1197.05 2.20687
2.05204 1199.88 2.1915
2.05233 1164.68 2.17763
2.05262 1172.64 2.18369
2.0529 1188.64 2.18483
2.05319 1147.75 2.15946
2.05348 1128.91 2.14742
2.05377 1087.14 2.11716
2.05405 1091.26 2.12887
2.05434 1086.32 2.12589
2.05463 1097.51 2.12574
2.05492 1097.51 2.1251
2.05521 1143.12 2.1669
2.05549 1126.31 2.15776
2.05578 1151.54 2.26609
2.05607 1093.52 2.53798
2.05636 1066.85 2.6222
2.05664 1045.39 2.35365
2.05693 1133.2 2.17414
2.05722 1145.77 2.17096
2.05751 1167.96 2.18928
2.0578 1211.16 2.22349
2.05808 1247.13 2.24689
2.05837 1316.6 2.29225
2.05866 1289.77 2.25458
2.05895 1370.73 2.31177
2.05923 1403.86 2.33421
2.05952 1501.48 2.40059
2.05981 1559.49 2.42925
2.0601 1577.07 2.44375
2.06039 1607.32 2.46879
2.06067 1506.49 2.39536
2.06096 1411.04 2.33544
2.06125 1422.44 2.35202
2.06154 1369.84 2.31116
2.06182 1402.61 2.33299
2.06211 1321.79 2.28176
2.0624 1260.38 2.23446
2.06269 1253.3 2.23523
2.06298 1209.61 2.2032
2.06326 1299.57 2.28404
2.06355 1226.96 2.21444
2.06384 1262.71 2.23802
2.06413 1266.04 2.23828
2.06441 1208.59 2.2009
2.0647 1295.86 2.26792
2.06499 1209.99 2.20978
2.06528 1275.82 2.25758
2.06557 1252.12 2.24045
2.06585 1156.05 2.17777
2.06614 1247.13 2.24775
2.06643 1204.81 2.21357
2.06672 1300.05 2.27504
2.067 1300.96 2.27633
2.06729 1245.23 2.23709
2.06758 1366.04 2.32117
2.06787 1269.32 2.25368
2.06816 1309.98 2.27912
2.06844 1350.21 2.31174
2.06873 1257.4 2.24609
2.06902 1373.94 2.33795
2.06931 1315.74 2.29273
2.06959 1285.49 2.27431
2.06988 1384.79 2.34759
2.07017 1297.07 2.2823
2.07046 1361.66 2.33128
2.07074 1371.27 2.33906
2.07103 1331.38 2.30603
2.07132 1458.68 2.40088
2.07161 1396.91 2.3553
2.0719 1378.17 2.34677
2.07218 1501.26 2.45348
2.07247 1446.79 2.58575
2.07276 1474.82 2.81145
2.07305 1483.19 2.74375
2.07333 1402.31 2.45194
2.07362 1497.6 2.43708
2.07391 1515.18 2.45111
2.0742 1456.49 2.40702
2.07449 1541.57 2.44886
2.07477 1513.54 2.43386
2.07506 1469.48 2.40061
2.07535 1572.27 2.46837
2.07564 1540.94 2.44632
2.07592 1549.74 2.45473
2.07621 1610.42 2.52364
2.0765 1574.72 2.49382
2.07679 1572.55 2.48964
2.07708 1618.05 2.51817
2.07736 1532.22 2.43769
2.07765 1482.31 2.40853
2.07794 1579.08 2.46725
2.07823 1622.66 2.49223
2.07851 1678.19 2.52706
