Order 3
1.92575 8.6649e-16 6.16473e-17
1.92604 8.11334e-16 8.96183e-17
1.92633 9.54037e-16 1.77702e-16
1.92661 9.50592e-16 8.81705e-16
1.9269 3.34288e-15 7.91299e-15
1.92719 2.18921e-16 3.68033e-15
1.92748 1.0087e-15 6.95357e-16
1.92776 5.98741e-16 4.14361e-16
1.92805 5.50637e-17 1.13511e-15
1.92834 2.59482e-15 2.8798e-15
1.92863 1.14705e-16 8.57182e-16
1.92891 2.83235e-16 1.92553e-16
1.9292 6.72588e-16 9.18025e-17
1.92949 6.68649e-16 9.38309e-17
1.92978 5.66975e-16 2.33872e-16
1.93006 9.03247e-16 8.23395e-16
1.93035 5.01691e-17 1.37634e-15
1.93064 -3.45325e-15 3.43967e-15
1.93093 2.39929e-15 3.86262e-15
1.93121 3.43297e-16 1.3805e-15
1.9315 5.61512e-16 4.19211e-16
1.93179 8.26882e-16 9.48948e-17
1.93208 7.72951e-16 4.31961e-17
1.93236 8.58283e-16 5.99547e-17
1.93265 8.80729e-16 8.05101e-17
1.93294 7.73739e-16 4.59587e-17
1.93322 8.73541e-16 4.99744e-17
1.93351 6.5464e-16 1.52501e-16
1.9338 3.68289e-16 7.16932e-16
1.93409 3.72565e-16 2.77599e-16
1.93437 8.4724e-16 7.30513e-17
1.93466 7.81648e-16 4.03031e-17
1.93495 8.04307e-16 3.40449e-17
1.93524 8.95127e-16 3.79864e-17
1.93552 8.99793e-16 5.85187e-17
1.93581 8.69908e-16 1.117e-16
1.9361 8.51418e-16 3.67026e-16
1.93639 6.56061e-16 3.30928e-16
1.93667 7.49979e-16 1.1659e-16
1.93696 7.8169e-16 7.33927e-17
1.93725 6.99795e-16 6.94663e-17
1.93754 7.0153e-16 1.41787e-16
1.93782 1.01637e-15 3.1517e-16
1.93811 4.81428e-16 1.44567e-16
1.9384 7.79732e-16 1.31738e-16
1.93869 8.50436e-16 3.90864e-16
1.93897 -3.07893e-15 2.69248e-15
1.93926 -1.44979e-15 2.42444e-15
1.93955 5.02709e-16 3.65937e-16
1.93984 7.21675e-16 6.52616e-17
1.94012 7.60202e-16 4.11329e-17
1.94041 8.36416e-16 6.10101e-17
1.9407 8.76848e-16 1.46134e-16
1.94099 1.03915e-15 2.37186e-16
1.94127 9.08657e-16 1.94636e-16
1.94156 8.75691e-16 5.77045e-17
1.94185 7.77341e-16 1.97647e-17
1.94214 8.08376e-16 1.34833e-17
1.94242 8.82718e-16 1.5119e-17
1.94271 8.29592e-16 1.67987e-17
1.943 8.62997e-16 2.17074e-17
1.94329 9.75882e-16 4.54724e-17
1.94357 7.72621e-16 6.08887e-17
1.94386 8.30637e-16 7.00797e-17
1.94415 1.0014e-15 1.51933e-16
1.94444 4.46326e-16 3.97782e-16
1.94472 7.24923e-16 1.68138e-16
1.94501 6.83708e-16 5.56624e-17
1.9453 6.62833e-16 3.24604e-17
1.94559 6.3947e-16 3.53544e-17
1.94587 5.75304e-16 3.3194e-17
1.94616 6.49647e-16 1.99644e-17
1.94645 7.89529e-16 1.93471e-17
1.94674 9.48465e-16 3.77114e-17
1.94702 7.74712e-16 6.86709e-17
1.94731 6.51255e-16 4.66933e-17
1.9476 7.93996e-16 4.5884e-17
1.94789 8.04466e-16 7.93785e-17
1.94817 6.0103e-16 6.30602e-17
1.94846 7.90988e-16 3.56287e-17
1.94875 9.3241e-16 4.01945e-17
1.94904 7.80804e-16 4.64044e-17
