Order 3
1.93636 5.65812e-14 1.0
1.93665 5.64368e-14 1.0
1.93693 5.6321e-14 1.0
1.93722 5.6247e-14 1.0
1.93751 5.62143e-14 1.0
1.9378 5.62017e-14 1.0
1.93809 5.61715e-14 1.0
1.93837 5.60857e-14 1.0
1.93866 5.59262e-14 1.0
1.93895 5.57045e-14 1.0
1.93924 5.54546e-14 1.0
1.93952 5.52145e-14 1.0
1.93981 5.50018e-14 1.0
1.9401 5.48075e-14 1.0
1.94039 5.46048e-14 1.0
1.94068 5.43674e-14 1.0
1.94096 5.40863e-14 1.0
1.94125 5.37682e-14 1.0
1.94154 5.34217e-14 1.0
1.94183 5.30436e-14 1.0
1.94211 5.26155e-14 1.0
1.9424 5.21097e-14 1.0
1.94269 5.15054e-14 1.0
1.94298 5.08015e-14 1.0
1.94326 5.00214e-14 1.0
1.94355 4.92131e-14 1.0
1.94384 4.84378e-14 1.0
1.94413 4.77533e-14 1.0
1.94442 4.72086e-14 1.0
1.9447 4.68426e-14 1.0
1.94499 4.66853e-14 1.0
1.94528 4.67585e-14 1.0
1.94557 4.70652e-14 1.0
1.94585 4.75775e-14 1.0
1.94614 4.82356e-14 1.0
1.94643 4.89557e-14 1.0
1.94672 4.96653e-14 1.0
1.94701 5.03205e-14 1.0
1.94729 5.09124e-14 1.0
1.94758 5.14547e-14 1.0
1.94787 5.1959e-14 1.0
1.94816 5.24234e-14 1.0
1.94844 5.28335e-14 1.0
1.94873 5.31769e-14 1.0
1.94902 5.34535e-14 1.0
1.94931 5.36727e-14 1.0
1.9496 5.3844e-14 1.0
1.94988 5.39717e-14 1.0
1.95017 5.40583e-14 1.0
1.95046 5.41116e-14 1.0
1.95075 5.41504e-14 1.0
1.95103 5.42033e-14 1.0
1.95132 5.42969e-14 1.0
1.95161 5.44423e-14 1.0
1.9519 5.46247e-14 1.0
1.95219 5.48106e-14 1.0
1.95247 5.49689e-14 1.0
1.95276 5.50871e-14 1.0
1.95305 5.51739e-14 1.0
1.95334 5.52451e-14 1.0
1.95362 5.53088e-14 1.0
1.95391 5.53574e-14 1.0
1.9542 5.53871e-14 1.0
1.95449 5.53917e-14 1.0
1.95478 5.53757e-14 1.0
1.95506 5.53542e-14 1.0
1.95535 5.53408e-14 1.0
1.95564 5.53381e-14 1.0
1.95593 5.53381e-14 1.0
1.95621 5.5332e-14 1.0
1.9565 5.5323e-14 1.0
1.95679 5.53252e-14 1.0
1.95708 5.53525e-14 1.0
1.95737 5.54032e-14 1.0
1.95765 5.54564e-14 1.0
1.95794 5.54849e-14 1.0
1.95823 5.54728e-14 1.0
1.95852 5.54275e-14 1.0
1.9588 5.53758e-14 1.0
1.95909 5.53496e-14 1.0
1.95938 5.5365e-14 1.0
1.95967 5.54102e-14 1.0
1.95996 5.5449e-14 1.0
1.96024 5.54438e-14 1.0
1.96053 5.53821e-14 1.0
1.96082 5.5287e-14 1.0
1.96111 5.52041e-14 1.0
1.96139 5.51713e-14 1.0
1.96168 5.51951e-14 1.0
1.96197 5.52485e-14 1.0
1.96226 5.52896e-14 1.0
1.96255 5.52871e-14 1.0
1.96283 5.52349e-14 1.0
1.96312 5.51522e-14 1.0
1.96341 5.50673e-14 1.0
1.9637 5.50039e-14 1.0
1.96398 5.49691e-14 1.0
1.96427 5.4932e-14 1.0
1.96456 5.48948e-14 1.0
1.96485 5.48603e-14 1.0
1.96514 5.48298e-14 1.0
1.96542 5.48029e-14 1.0
1.96571 5.4777e-14 1.0
1.966 5.47484e-14 1.0
1.96629 5.47151e-14 1.0
