BITPIX  =                    8  /  8-bit ASCII characters                       
NAXIS   =                    1  /  Number of Image Dimensions                   
NAXIS1  =                 6841  /  Length of axis                               
ORIGIN  = 'NOAO-IRAF: WTEXTIMAGE'  /
IRAF-MAX=                   0.  /  Max image pixel (out of date)                
IRAF-MIN=                   0.  /  Min image pixel (out of date)                
IRAF-B/P=                   32  /  Image bits per pixel                         
IRAFTYPE= 'REAL FLOATING     '  /  Image datatype                              
OBJECT  = '                  '  /                                              
FILENAME= 'AWI0005X3S_XTC_20171104_2MASSWEIGHTED_MERGED_IRAF_CON'  /
FORMAT  = '5G14.7            '  /  Text line format                            
EXTEND  =                    F / File may contain extensions                    
ORIGIN  = 'NOAO-IRAF FITS Image Kernel July 2003' / FITS file originator        
DATE    = '2018-06-07T17:11:24' / Date FITS file was generated                  
IRAF-TLM= '2018-06-07T16:51:59' / Time of last modification                     
APNUM1  = '1 1     '                                                            
WCSDIM  =                    1                                                  
CTYPE1  = 'LINEAR  '                                                            
CRVAL1  =    0.822837400000001                                                  
CRPIX1  =                   1.                                                  
CDELT1  =  2.40206081871340E-4                                                  
CD1_1   =  2.40206081871340E-4                                                  
LTM1_1  =                   1.                                                  
WAT0_001= 'system=equispec'                                                     
WAT1_001= 'wtype=linear'                                                        
DC-FLAG =                    0                                                  
CA-FLAG =                    0                                                  
EX-FLAG =                    0                                                  
SFIT    = '1       '                                                            
SFITB   = '1       '                                                            
END                                                                             
                                                                                
                                                                                
                                                                                
0.822837400000002  0.8998584
0.823077606081874  0.2269963
0.823317812163745  0.5464559
0.823558018245616  0.4644797
0.823798224327488  -0.3359472
0.824038430409359  0.9869335
0.824278636491231  0.8450499
0.824518842573102  -0.1140725
0.824759048654973  -0.2758006
0.824999254736844  0.3985859
0.825239460818716  0.9065102
0.825479666900587  0.7164444
0.825719872982458  0.4746564
0.82596007906433  0.4393487
0.826200285146201  0.2721286
0.826440491228072  0.9448599
0.826680697309944  0.5434784
0.826920903391815  0.9432006
0.827161109473687  0.5253228
0.827401315555558  0.1371713
0.827641521637429  0.6421267
0.8278817277193  0.8232411
0.828121933801172  1.032732
0.828362139883043  0.439352
0.828602345964915  0.1809825
0.828842552046786  0.8081592
0.829082758128657  0.01353411
0.829322964210529  0.8676376
0.8295631702924  0.8421739
0.829803376374271  0.8614283
0.830043582456143  0.8440415
0.830283788538014  0.3488331
0.830523994619885  0.8105135
0.830764200701757  1.229708
0.831004406783628  0.6072186
0.831244612865499  0.6749273
0.831484818947371  0.8719983
0.831725025029242  0.02027268
0.831965231111113  0.6999213
0.832205437192985  0.3606586
0.832445643274856  0.7029486
0.832685849356727  0.807683
0.832926055438599  0.4686103
0.83316626152047  0.4010756
0.833406467602342  0.653227
0.833646673684213  0.7758456
0.833886879766084  0.2603163
0.834127085847955  0.03536521
0.834367291929827  1.005077
0.834607498011698  0.3511493
0.834847704093569  0.3179379
0.835087910175441  0.3264505
0.835328116257312  0.2782501
0.835568322339183  0.601002
0.835808528421055  0.07699753
0.836048734502926  0.1223137
0.836288940584798  0.4860496
0.836529146666669  0.4071884
0.83676935274854  0.6756692
0.837009558830411  0.8858287
0.837249764912283  0.207454
0.837489970994154  0.5328769
0.837730177076026  0.2504449
0.837970383157897  0.3574867
0.838210589239768  0.486085
0.838450795321639  0.4076174
0.838691001403511  0.4996952
0.838931207485382  0.4965671
0.839171413567254  0.6508725
0.839411619649125  0.6660483
0.839651825730996  0.6640133
0.839892031812868  0.9209971
0.840132237894739  0.3271342
0.84037244397661  0.5704216
0.840612650058482  0.8194627
0.840852856140353  0.822064
0.841093062222224  0.6066357
0.841333268304096  0.8425812
0.841573474385967  0.4740733
0.841813680467838  0.4256673
0.84205388654971  0.9520117
0.842294092631581  0.6101066
0.842534298713452  0.3276984
0.842774504795324  1.06361
0.843014710877195  0.8516037
0.843254916959066  0.5800446
0.843495123040938  0.7376999
0.843735329122809  0.4083647
0.84397553520468  0.4840594
0.844215741286552  0.4774465
0.844455947368423  0.5620114
0.844696153450294  0.3353678
0.844936359532166  0.5696634
0.845176565614037  0.5945572
0.845416771695908  0.7220619
0.84565697777778  0.5781116
0.845897183859651  0.5981204
0.846137389941523  0.7003414
0.846377596023394  0.776307
0.846617802105265  0.3959128
0.846858008187136  0.8384702
0.847098214269008  0.6019924
0.847338420350879  0.4116438
0.847578626432751  0.524831
0.847818832514622  0.8183988
0.848059038596493  0.4931735
0.848299244678365  0.6026235
0.848539450760236  0.7837149
0.848779656842107  0.6949925
0.849019862923979  0.6679277
0.84926006900585  0.7387777
0.849500275087721  0.7208425
0.849740481169592  0.8496889
0.849980687251464  0.7396204
0.850220893333335  0.7786951
0.850461099415207  0.7202126
0.850701305497078  0.5957344
0.850941511578949  0.3404
0.851181717660821  0.6261013
0.851421923742692  0.97104
0.851662129824563  0.5486692
0.851902335906435  0.7332813
0.852142541988306  0.8376886
0.852382748070177  0.725658
0.852622954152049  0.3883615
0.85286316023392  0.6267195
0.853103366315791  0.6482771
0.853343572397663  0.6885427
0.853583778479534  0.7121326
0.853823984561405  0.5490046
0.854064190643277  0.7847208
0.854304396725148  0.4948855
0.854544602807019  0.5669633
0.854784808888891  0.6427585
0.855025014970762  0.6606126
0.855265221052633  0.6755484
0.855505427134505  0.766358
0.855745633216376  0.8679409
0.855985839298247  0.7701075
0.856226045380119  0.5674523
0.85646625146199  0.701638
0.856706457543861  0.7330748
0.856946663625733  0.7619319
0.857186869707604  0.6484308
0.857427075789475  0.6126354
0.857667281871347  0.7747203
0.857907487953218  0.7086296
